# projection-study.tsv — per-OCS-lexeme detail of the phase-1 projection study.
# generated-by: cargo xtask projection-study
# contract: docs/UNIFIED_LANGUAGE_PROMPT.md (execution plan step 1).
lexeme_id	pos	lemma	candidates	match_kind	matched_key	cells	cells_exact	cells_accent_blind	cells_divergent	cells_unprojectable
брѣщи|verb|18e4eccff91f9d6a	verb	брѣщи	1	none		11	0	0	11	0
брꙑсало|noun|7cfb25e8611dd941	noun	брꙑсало	1	none		21	0	0	21	0
бъдрость|noun|25c8b1a382337ddd	noun	бъдрость	3	oracle-type	бодрость	26	0	2	24	0
бъдръ|adj|8f06d06048b9f4ab	adj	бъдръ	3	oracle-type	бодръ	252	0	12	240	0
бъдрьливъ|adj|8c6eb4cb2e424a2d	adj	бъдрьливъ	9	none		252	0	0	252	0
бъдѣти|verb|d006e9ccfce6fca8	verb	бъдѣти	3	oracle-type	бдѣти	42	0	12	30	0
бъчела|noun|ffabd68297945892	noun	бъчела	3	none		21	0	0	21	0
бьрати|verb|1f9a06227cfef37b	verb	бьрати	3	none		11	0	1	10	0
бьчела|noun|d80772b1e40661df	noun	бьчела	3	none		21	0	0	21	0
бѣгати|verb|915034dc9ee006e5	verb	бѣгати	1	registered-lexeme	бѣгати	11	0	1	10	0
бѣда|noun|7bab1cd728646c32	noun	бѣда	1	registered-lexeme	бѣда	21	0	15	6	0
бѣдити|verb|b77d2b9dea49914a	verb	бѣдити	1	none		43	0	0	43	0
бѣжаниѥ|noun|c4ddb2c39b1d6771	noun	бѣжаниѥ	1	none		21	0	0	21	0
бѣжати|verb|0dc46491ecb5e8bc	verb	бѣжати	1	registered-lexeme	бѣжати	11	0	3	8	0
бѣлоризьць|noun|3bbf80acf2f8e04a	noun	бѣлоризьць	3	none		21	0	0	21	0
бѣлость|noun|948999420fd3f323	noun	бѣлость	1	none		26	0	10	16	0
бѣлъ|adj|057a9797a5393857	adj	бѣлъ	1	registered-lexeme	бѣлъ	252	0	126	126	0
бѣльць|noun|30d7c4468de935e6	noun	бѣльць	3	none		21	0	0	21	0
бѣство|noun|7d7ea30a411ec0f8	noun	бѣство	1	none		21	0	0	21	0
бѣсъ|noun|a271434ad851c9cb	noun	бѣсъ	1	registered-lexeme	бѣсъ	23	0	17	6	0
бꙑвати|verb|2ecbe0610b096d87	verb	бꙑвати	1	oracle-type	бывати	11	0	2	9	0
бꙑкъ|noun|14342f684b0e6147	noun	бꙑкъ	1	none		23	0	0	23	0
бꙑльѥ|noun|5b7490b837d80aa8	noun	бꙑльѥ	3	none		21	0	6	15	0
бꙑстръ|adj|a199198a68b7fdae	adj	бꙑстръ	1	none		253	0	6	247	0
бꙑти|verb|7a2b59bdfb459c14	verb	бꙑти	1	registered-lexeme	быти	66	0	42	24	0
бꙑтиѥ|noun|523fb4aa2443f69b	noun	бꙑтиѥ	1	none		21	0	0	21	0
ва|pron|261bf7f1623b7217	pron	ва	1	none		42	0	38	4	0
вавилоньскъ|adj|69d94e7142eaa48b	adj	вавилоньскъ	3	none		252	0	0	252	0
вадити|verb|91d5e4cb9a573e27	verb	вадити	1	oracle-type	вадити	43	0	4	39	0
вапа|noun|f5cf938d32ab7600	noun	вапа	1	none		21	0	0	21	0
варꙗти|verb|257627b9087f5079	verb	варꙗти	1	none		11	0	1	10	0
вашь|pron|2d1ab7b366d69c74	pron	вашь	1	none		42	0	38	4	0
ваю|pron|64713463dc877b21	pron	ваю	1	oracle-type	ваю	42	0	38	4	0
ваꙗти|verb|518be78c328518c2	verb	ваꙗти	1	oracle-type	ваѧти	11	0	1	10	0
ведро|noun|b88021522d207319	noun	ведро	1	oracle-type	ведро	21	0	3	18	0
велии|adj|76e2589d0fec9d05	adj	велии	1	none		254	0	0	254	0
велииство|noun|c530c94609f6eca3	noun	велииство	1	none		21	0	0	21	0
великота|noun|d0cd0f3f9cd46969	noun	великота	1	none		21	0	0	21	0
великъ|adj|c3286e599b4f4ed4	adj	великъ	1	registered-lexeme	великъ	253	0	116	137	0
величиѥ|noun|1756392be4960b0b	noun	величиѥ	1	none		21	0	0	21	0
величьствиѥ|noun|079cf598530ccacb	noun	величьствиѥ	3	none		21	0	0	21	0
величьство|noun|f8f023a869998fb7	noun	величьство	3	registered-lexeme	величьство	21	0	16	5	0
велиѥꙗдъ|noun|7ae6cc0de8fd86f7	noun	велиѥꙗдъ	1	none		21	0	0	21	0
вельбѫдъ|noun|c44d43f8b2637c57	noun	вельбѫдъ	6	none		21	0	3	18	0
вельможа|noun|c924ee38bc343e18	noun	вельможа	3	oracle-type	вельможа	21	0	8	13	0
велѣти|verb|60dcf721d8ef7893	verb	велѣти	1	none		42	0	13	29	0
вепрь|noun|37c441171d9caff9	noun	вепрь	1	oracle-type	вепрь	26	0	11	15	0
верѣꙗ|noun|ac72861399c0a174	noun	верѣꙗ	1	none		21	0	0	21	0
веселити|verb|24d193f7c47627d5	verb	веселити	1	none		43	0	3	40	0
веселъ|adj|20d2cb15e45f06b5	adj	веселъ	1	oracle-type	веселъ	252	0	54	198	0
весло|noun|bf8e95c048c72a56	noun	весло	1	none		21	0	4	17	0
