source_row	lemma	class	class_four_basic_stem
2400	навыцати	7	-
2404	навѧзати	3	-
2407	наготовати	6	-
2411	надоити	1	-
2412	надути	4v	-
2413	надълежати	2	-
2414	надымати	7	-
2416	надѣꙗти	3	-
2417	назирати	7	-
2418	назнаменати	7	-
2419	назнаменовати	6	-
2420	назьрѣти	2	-
2424	наказати	3	-
2425	накладати	7	-
2426	накласти	4c	наклад
2429	накръмити	1	-
2430	накынѫти	5	-
2431	налагати	7	-
2432	належати	2	-
2434	наложити	1	-
2435	налѧцати	3	-
2436	налѧщи	4c	налѧк
2437	намаꙗти	3	-
2439	намочити	1	-
2440	намѣн҄ꙗти	7	-
2441	намѣнити	1	-
2442	намѣрити	1	-
2444	нанести	4c	нанес
2445	наносити	1	-
2446	наострити	1	-
2448	напаꙗти	7	-
2449	нападати	7	-
2451	напасти	4c	напад
2453	напастьствовати	6	-
2455	написати	7	-
2456	напитати	7	-
2457	напитѣти	7	-
2458	напльн҄ꙗти	7	-
2459	напльнити	1	-
2460	напоити	1	-
2461	направл҄ꙗти	7	-
2462	направити	1	-
2472	нарицати	3	-
2474	нарѫгати	7	-
2480	насадити	1	-
2482	населити	1	-
2483	насил҄ꙗти	7	-
2485	насилити	1	-
2487	наскакати	3	-
2488	наслаждати	7	-
2490	насладити	1	-
2492	наслѣдити	1	-
2494	наслѣдовати	6	-
2496	наслѣдьствовати	6	-
2497	настаꙗти	3	-
2498	наставл҄ꙗти	7	-
2500	наставити	1	-
2503	настѫпати	7	-
2504	настѫпити	1	-
2506	настоꙗти	2	-
2508	насытити	1	-
2510	насыщати	7	-
2512	насѣвати	7	-
2513	насѣти	4v	-
2516	наустити	1	-
2517	научати	7	-
2519	научити	1	-
2520	находити	1	-
2522	начинати	7	-
2525	начрьтати	7	-
2527	облобызати	7	-
2528	обложити	1	-
2529	облыгати	7	-
2530	обльгъчавати	7	-
2531	обльгъчати	7	-
2532	обльгъчити	1	-
2533	обльстити	1	-
2534	облѣдѣти	7	-
2535	облѣнити	1	-
2537	обнавл҄ꙗти	7	-
2538	обнажати	7	-
2540	обнажити	1	-
2541	обнищати	7	-
2543	обновити	1	-
2544	обносити	1	-
2548	обон҄ꙗти	7	-
2549	обогатити	1	-
2550	обогащати	7	-
2552	оборити	1	-
2554	обрадовати	6	-
2555	образити	1	-
2556	образовати	6	-
2559	обратити	1	-
2560	обращати	7	-
2562	обрѫчити	1	-
2564	обръпътити	1	-
2566	обрѣзати	3	-
2567	обрѣменити	1	-
2570	обрѣтати	7	-
2574	обуꙗти	7	-
2575	обубожати	7	-
2576	обуити	1	-
2587	негодовати	6	-
2588	недѫговати	6	-
2595	недомыслити	1	-
2596	недостатъковати	6	-
2627	ненавидѣти	2	-
2676	непьщевати	6	-
2684	нести	4c	нес
2702	нечьствовати	6	-
2705	нечьстовати	6	-
2709	низити	1	-
2712	низъвести	4c	низъвед
2713	низъводити	1	-
2715	низъвѣсити	1	-
2717	низъложити	1	-
2718	низъпасти	4c	низъпад
2719	низъринѫти	5	-
2721	низъходити	1	-
2722	никнѫти	5	-
2729	нѫдити	1	-
2736	носити	1	-
2743	нѣмовати	6	-
2747	обл҄юбити	1	-
2750	обавл҄ꙗти	7	-
2752	обавати	7	-
2753	обавити	1	-
2756	обадити	1	-
2757	обетъшати	7	-
2758	обетъшити	1	-
2762	обидѣти	2	-
2764	обиловати	6	-
2767	обимати	7	-
2768	обинѫти	5	-
2769	обиновати	6	-
2771	обитати	7	-
2777	обѫродѣти	7	-
2778	обѫхати	7	-
2779	облагати	7	-
2781	обладати	7	-
2784	облажити	1	-
2785	облазнити	1	-
2789	облачити	1	-
2794	облежати	2	-
2797	обливати	7	-
2798	облизати	3	-
2799	облиствьнѣти	7	-
2800	облиховати	6	-
2801	обличати	7	-
2805	обличити	1	-
2807	облобъзати	3	-
2810	обыкнѫти	5	-
2818	освитати	7	-
2819	отътѧѕати	7	-
2826	отъчаꙗти	3	-
2829	отъщетити	1	-
2831	отьмити	1	-
2832	отьмьнити	1	-
2833	отьмьнѣти	7	-
2840	отѧгнѫти	5	-
2841	отѧготѣти	7	-
2842	отѧгъчати	7	-
2843	отѧгъчити	1	-
2844	отѧжати	7	-
2845	отѧжьчавати	7	-
2846	отѧжьчати	7	-
2849	охѫпити	1	-
2851	оходити	1	-
2852	охудити	1	-
2853	охудѣти	7	-
2859	подвиѕати	7	-
2860	подвигнѫти	5	-
2862	подвижати	2	-
2866	обьщевати	6	-
2870	обьщити	1	-
2876	обѣдовати	6	-
2878	обѣсити	1	-
2881	обѣшати	7	-
2882	обѣщавати	7	-
2884	обѣщати	7	-
2886	обѧзати	3	-
2887	обѧтр҄ꙗти	7	-
2889	обѧтрити	1	-
2894	овъторити	1	-
2895	овысити	1	-
2904	оглаголати	3	-
2905	огласити	1	-
2906	оглашати	7	-
2908	оглѧдати	7	-
2909	оголити	1	-
2912	оградити	1	-
2913	огрѧсти	4c	обгрѧд
2914	одарити	1	-
2917	одолѣвати	7	-
2919	одолѣти	7	-
2922	одрьжати	2	-
2924	одъждати	7	-
2925	одъждити	1	-
2929	одѣꙗти	3	-
2930	одѣвати	7	-
2933	оженити	1	-
2934	ожестити	1	-
2936	ожесточити	1	-
2937	ожестѣти	7	-
2939	оживити	1	-
2940	ожидати	7	-
2942	озар҄ꙗти	7	-
2943	озарити	1	-
2944	озирати	7	-
2945	озобати	3	-
2948	озълобити	1	-
2952	окл҄ѥветавати	7	-
2954	окл҄ѥветати	3	-
2956	окаꙗти	3	-
2958	окаменити	1	-
2959	окамѣнити	1	-
2960	оклоснити	1	-
2964	оконьчати	7	-
2965	окопати	7	-
2966	окрасти	4c	обкрад
2967	ократити	1	-
2968	окрилити	1	-
2971	окропити	1	-
2972	окрочити	1	-
2973	окръвавити	1	-
2974	окрывати	7	-
2978	окусити	1	-
2979	окушати	7	-
2982	омакати	7	-
2984	омѫтити	1	-
2985	омочити	1	-
2986	омразити	1	-
2987	омрачати	7	-
2988	омрачити	1	-
2989	омръзѣти	7	-
2990	омръкнѫти	5	-
2991	омрьтвѣти	7	-
2993	омывати	7	-
2995	омѧчити	1	-
2998	онѣмл҄ꙗти	7	-
2999	онѣмѣти	7	-
3001	опал҄ꙗти	7	-
3002	опалити	1	-
3008	опечалити	1	-
3009	оплакати	3	-
3011	оплъчати	7	-
3012	оплъчити	1	-
3015	опослушати	7	-
3017	оправьдати	7	-
3018	оправьдити	1	-
3019	опражн҄ꙗти	7	-
3024	опустити	1	-
3025	опустѣти	7	-
3026	опытати	7	-
3028	орати	3	-
3029	орити	1	-
3030	освѣтити	1	-
3031	освѣщавати	7	-
3032	освѣщати	7	-
3034	освѧтити	1	-
3035	освѧщати	7	-
3037	оседълати	7	-
3038	осиꙗти	7	-
3039	осин҄ꙗти	7	-
3041	осѫждати	7	-
3043	осѫдити	1	-
3046	оскврьн҄ꙗти	7	-
3048	оскврьнавити	1	-
3049	оскврьнити	1	-
3050	оскѫдити	1	-
3051	оскѫдѣти	7	-
3053	осклабити	1	-
3054	оскръбл҄ꙗти	7	-
3055	оскръбити	1	-
3056	оскръбѣти	2	-
