normalized_type	corpus_frequency	selector
жилы	32	sha256-mod-20
жребїемъ	10	sha256-mod-20
жребїємъ	8	sha256-mod-20
жречествовахꙋ	2	sha256-mod-20
жрꙋщихъ	2	sha256-mod-20
забвенїи	2	sha256-mod-20
заблꙋждай	2	sha256-mod-20
заблꙋждайте	2	sha256-mod-20
заблꙋждающихъ	4	sha256-mod-20
заблꙋждшїѧ	2	sha256-mod-20
забытїи	2	sha256-mod-20
завадъ	10	sha256-mod-20
завѣщаемъ	4	sha256-mod-20
завѣщано	2	sha256-mod-20
завѣщающыѧ	2	sha256-mod-20
заклала	6	sha256-mod-20
заклинаше	2	sha256-mod-20
заключивъ	2	sha256-mod-20
заключисѧ	4	sha256-mod-20
заколенїй	2	sha256-mod-20
законами	2	sha256-mod-20
законопрестꙋпномꙋ	2	sha256-mod-20
законоꙋчителїе	2	sha256-mod-20
законѡвъ	45	sha256-mod-20
закопаютъ	2	sha256-mod-20
закровенїи	2	sha256-mod-20
западѣ	20	sha256-mod-20
запечатаетъ	2	sha256-mod-20
запечаташа	4	sha256-mod-20
запечатлѣнныѧ	2	sha256-mod-20
заповѣдите	2	sha256-mod-20
запꙋстѣнїе	36	sha256-mod-20
зарай	2	sha256-mod-20
заранѧ	4	sha256-mod-20
зарины	2	sha256-mod-20
застоитъ	2	sha256-mod-20
зачатъ	40	sha256-mod-20
защититисѧ	2	sha256-mod-20
заѳоисовыхъ	2	sha256-mod-20
заⷱ	1	sha256-mod-20
заⷱ҇	585	sha256-mod-20
заꙋтра	276	sha256-mod-20
заꙋтрїю	2	sha256-mod-20
здрава	22	sha256-mod-20
здравствовати	9	sha256-mod-20
здравыхъ	2	sha256-mod-20
зеленѣ	2	sha256-mod-20
земледѣлателє	2	sha256-mod-20
земледѣлатєли	2	sha256-mod-20
земледѣльцꙋ	1	sha256-mod-20
зехріевъ	4	sha256-mod-20
зима	12	sha256-mod-20
златодѣльникъ	1	sha256-mod-20
знаменавше	2	sha256-mod-20
знамени	2	sha256-mod-20
знаменїємъ	4	sha256-mod-20
знаменїѧмъ	2	sha256-mod-20
знахъ	8	sha256-mod-20
знаютъ	6	sha256-mod-20
зноѧ	26	sha256-mod-20
зізꙋ	2	sha256-mod-20
игемѡнѡвы	2	sha256-mod-20
идемъ	58	sha256-mod-20
ижденетъ	6	sha256-mod-20
из̾ѡбраженїе	4	sha256-mod-20
из̾ѡбраженїѧ	1	sha256-mod-20
из̾ѧвлѧѧй	2	sha256-mod-20
из̾ѧснѧти	2	sha256-mod-20
избависте	4	sha256-mod-20
избависѧ	2	sha256-mod-20
избавитсѧ	4	sha256-mod-20
избисте	8	sha256-mod-20
избытки	8	sha256-mod-20
избыточествꙋете	9	sha256-mod-20
избыточествꙋюще	4	sha256-mod-20
избѣгшїи	6	sha256-mod-20
избѣгшѧ	2	sha256-mod-20
изваѧно	12	sha256-mod-20
изваѧныѧ	2	sha256-mod-20
изваѧнїй	2	sha256-mod-20
извергнꙋти	2	sha256-mod-20
извергосте	2	sha256-mod-20
извергꙋтсѧ	4	sha256-mod-20
извержено	2	sha256-mod-20
изверженъ	6	sha256-mod-20
извитїѧ	7	sha256-mod-20
извожденїи	2	sha256-mod-20
извѣщавательныхъ	1	sha256-mod-20
извѣщавати	2	sha256-mod-20
изгиблъ	4	sha256-mod-20
изгнаша	52	sha256-mod-20
изгонихомъ	2	sha256-mod-20
изгонѧхъ	2	sha256-mod-20
изгонѧщѧ	2	sha256-mod-20
издолбе	2	sha256-mod-20
излій	8	sha256-mod-20
