key	lexeme_id	source_spellings
братоненавидьникъ	братоненавидьникъ|noun|d1e52260c8adb797	canonical:"братоненавидьникъ" || page:"братоненавидьникъ"
братоучѧдъ	братоучѧдъ|noun|1e4cf4e51ba88ea2	canonical:"братоучѧдъ" || page:"братоучѧдъ"
братриꙗ	братрьꙗ|noun|21602371cf34c3e3	alternative:"братриꙗ"
братрьство	братрьство|noun|62c4700d91680569	canonical:"братрьство" || page:"братрьство"
братрьꙗ	братрьꙗ|noun|21602371cf34c3e3	canonical:"братрьꙗ" || page:"братрьꙗ"
братъ	братъ|noun|8a09ef50fdd7ca36	canonical:"братъ" || page:"братъ"
братьꙗ	братрьꙗ|noun|21602371cf34c3e3	alternative:"братьꙗ"
брашьно	брашьно|noun|62f6a1340e00f8a9	canonical:"брашьно" || page:"брашьно"
брашьньце	брашьньце|noun|1e40bfc7555c59ef	canonical:"брашьньце" || page:"брашьньце"
бритва	бритва|noun|fc768d4c0337d6ea	canonical:"бритва" || page:"бритва"
бръзда	бръзда|noun|9338d49e8f730a68	canonical:"бръзда" || page:"бръзда"
бръна	брьна|noun|1f8e4cc7d5b28253	alternative:"бръна"
брънѩ	брънѩ|noun|00934e16b425711c	canonical:"брънѩ" || page:"брънѩ"
бръселиѥ	бръселиѥ|noun|60abe9e918be9625	canonical:"бръселиѥ" || page:"бръселиѥ"
брьвьно	брьвьно|noun|5a381d2cddd8121d	canonical:"брьвьно" || page:"брьвьно"
брьна	брьна|noun|1f8e4cc7d5b28253	canonical:"брьна" || page:"брьна"
брьниѥ	брьниѥ|noun|8f06243e11750f6f	canonical:"брьниѥ" || page:"брьниѥ"
брѣгъ	брѣгъ|noun|a1939a0059ca7b2f	canonical:"брѣгъ" || page:"брѣгъ"
брѣзьнъ	брѣзьнъ|noun|067c4c3f6c1058a0	canonical:"брѣзьнъ" || page:"брѣзьнъ"
брѣмѧ	брѣмѧ|noun|108c06c9fa1f6105	canonical:"брѣмѧ" || page:"брѣмѧ"
брѣшти	брѣщи|verb|18e4eccff91f9d6a	alternative:"брѣшти"
брѣщи	брѣщи|verb|18e4eccff91f9d6a	canonical:"брѣщи" || page:"брѣщи"
брꙑсало	брꙑсало|noun|7cfb25e8611dd941	canonical:"брꙑсало" || page:"брꙑсало"
бъдрость	бъдрость|noun|25c8b1a382337ddd	canonical:"бъдрость" || page:"бъдрость"
бъдръ	бъдръ|adj|8f06d06048b9f4ab	canonical:"бъдръ" || page:"бъдръ"
бъдрьливъ	бъдрьливъ|adj|8c6eb4cb2e424a2d	canonical:"бъдрьливъ" || page:"бъдрьливъ"
бъдѣти	бъдѣти|verb|5e422908d6eeb0c7	canonical:"бъдѣти" || page:"бъдѣти"
бъчела	бъчела|noun|ffabd68297945892	canonical:"бъчела" || page:"бъчела"
бъчела	бьчела|noun|d80772b1e40661df	alternative:"бъчела"
былие	бꙑльѥ|noun|5b7490b837d80aa8	alternative:"былие"
бьрати	бьрати|verb|1f9a06227cfef37b	canonical:"бьрати" || page:"бьрати"
бьчела	бъчела|noun|ffabd68297945892	alternative:"бьчела"
бьчела	бьчела|noun|d80772b1e40661df	canonical:"бьчела" || page:"бьчела"
бѣгати	бѣгати|verb|915034dc9ee006e5	canonical:"бѣгати" || page:"бѣгати"
бѣда	бѣда|noun|7bab1cd728646c32	canonical:"бѣда" || page:"бѣда"
бѣдити	бѣдити|verb|dee6e9424fb7b445	canonical:"бѣдити" || page:"бѣдити"
бѣжаниѥ	бѣжаниѥ|noun|c4ddb2c39b1d6771	canonical:"бѣжаниѥ" || page:"бѣжаниѥ"
