id	lemma	page_word	key	pos	class	raw_class	gender	animacy	number_restriction	head_templates	signature
плоускъ|noun|a5278c4a323ab7c8	плоускъ	плоускъ	плоускъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	a5278c4a323ab7c8
плоути|verb|51935678febe38af	плоути	плоути	плоути	verb	IA1	IA1				[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"impf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"impf"}}]	51935678febe38af
плъкъ|noun|609841fc356a8279	плъкъ	плъкъ	плъкъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	609841fc356a8279
плътъ|noun|6797b23358d04d73	плътъ	прътъ	плътъ	noun	o-m-hard	o-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	6797b23358d04d73
плъть|noun|fc494d3764382d3d	плъть	плъть	плъть	noun	i-f	i-stem	f			[{"name":"head","args":{"1":"cu","2":"noun","g":"f","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"f"}}]	fc494d3764382d3d
пльваниѥ|noun|5d3c7a4b31810d5a	пльваниѥ	пльваниѥ	пльваниѥ	noun	jo-n-soft	o-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	5d3c7a4b31810d5a
пльвати|verb|5be373b544be7687	пльвати	пльвати	пльвати	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"impf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"impf"}}]	5be373b544be7687
пльзъкъ|adj|7de341f634427ce1	пльзъкъ	пльзъкъ	пльзъкъ	adj	adj-hard					[{"name":"head","args":{"1":"cu","10":"","11":"","12":"","13":"","14":"","15":"","16":"","17":"","18":"","19":"","2":"adjective","20":"","21":"","22":"","3":"","4":"","5":"","6":"","7":"","8":"","9":"","head":"","sc":"","tr":""}},{"name":"cu-adj","args":{}}]	7de341f634427ce1
пльнъ|adj|db3fd9f5c87552a9	пльнъ	пльнъ	пльнъ	adj	adj-hard					[{"name":"head","args":{"1":"cu","10":"","11":"","12":"","13":"","14":"","15":"","16":"","17":"","18":"","19":"","2":"adjective","20":"","21":"","22":"","3":"","4":"","5":"","6":"","7":"","8":"","9":"","head":"","sc":"","tr":""}},{"name":"cu-adj","args":{}}]	db3fd9f5c87552a9
плѣва|noun|c68754b978bd756f	плѣва	плѣва	плѣва	noun	a-hard	a-stem	f			[{"name":"head","args":{"1":"cu","2":"noun","g":"f","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"f"}}]	c68754b978bd756f
