id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
смрадъ.n	смрадъ	n	-	-	o:ъ:-	-	-	-	nom.sg=смрада	K:o:ъ:-;U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
смръдъ.n	смръдъ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
смрьдъ.n	смрьдъ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
смѣхъ.n	смѣхъ	n	-	-	ok:ъ:-	-	-	-	-	K:ok:ъ:-	tie ok:ъ:m
сновьство.n	сновьство	n	-	-	o:о:-	-	-	-	-	K:o:о:-	tie o:о:n,ok:о:-
снопъ.n	снопъ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
снъ.n	снъ	n	-	-	u:ъ:-	-	-	-	nom.du=сна;nom.pl=сни;gen.sg=сна;gen.du=сноу;gen.pl=снъ;dat.sg=сноу;dat.du=снома;dat.pl=сномъ;acc.sg=сна;acc.du=сна;ins.sg=сномъ;ins.du=снома;ins.pl=снꙑ;loc.sg=снѣ;loc.du=сноу;loc.pl=снѣхъ;voc.sg=сне;voc.du=сна;voc.pl=сни	K:u:ъ:-	tie uk:ъ:-
снѣгъ.n	снѣгъ	n	-	-	ok:ъ:-	-	-	-	nom.sg=гнѣгъ	K:ok:ъ:-;U:	tie ok:ъ:m
содома.n	содома	n	-	-	a:а:-	a	-	loc.pl=содомѣхъ	-	U:	-
содоми.n	содоми	n	-	-	a:и:-	a	-	dat.pl=содомомъ	-	U:	-
содомлꙗнинъ.n	содомлꙗнинъ	n	-	-	o:ъ:m	a	-	nom.pl=содомьꙗне;gen.pl=содомлѣнь;dat.pl=содомлѣнемъ	-	U:	-
сокачии.n	сокачии	n	-	-	a:и:-	-	-	-	nom.pl=сокачиѧ;ins.sg=сокачиѭ	K:a:и:-;U:	tie a:и:m
сокачьи.n	сокачьи	n	-	-	a:и:-	-	-	-	-	K:a:и:-	tie a:и:m
сократъ.n	сократъ	n	-	-	o:ъ:-	-	-	-	-	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m,u:ъ:-,uk:ъ:-
сокъ.n	сокъ	n	-	-	ok:ъ:-	-	-	-	-	K:ok:ъ:-	tie ok:ъ:m
солило.n	солило	n	-	-	o:о:-	-	-	-	-	K:o:о:-	tie o:о:n,ok:о:-
соломонъ.n	соломонъ	n	-	-	o:ъ:m	-	-	-	-	U:	tie o:ъ:-,ok:ъ:-,ok:ъ:m
соломоунъ.n	соломоунъ	n	-	-	o:ъ:m	-	-	-	-	U:	tie o:ъ:-,ok:ъ:-,ok:ъ:m
солоунъ.n	солоунъ	n	-	-	o:ъ:m	a	-	nom.sg=солоуна	-	U:	tie o:ъ:-,ok:ъ:-,ok:ъ:m
солоунꙗнинъ.n	солоунꙗнинъ	n	-	-	o:ъ:m	a	-	dat.pl=солоунꙗнемъ	-	U:	-
соль.n	соль	n	-	-	i:ь:-	-	-	-	nom.sg=солъ	K:i:ь:-;U:	tie i:и:-,i:ъ:-
солꙋнѣнинъ.n	солоунѣнинъ	n	m	-	o:ъ:m	a	-	nom.pl=солоунѣне;gen.pl=солоунѣнъ;dat.pl=солоунѣньмъ;acc.pl=солоунѣнꙑ;ins.sg=солоунѣниномь;ins.pl=солоунѣнꙑ;loc.pl=солоунѣньхъ;voc.pl=солоунѣне	-	K:o:ъ:m	tie o:ъ:-,ok:ъ:-,ok:ъ:m
соманитѣнꙑни.n	соманитѣнꙑни	n	-	-	a:и:f	-	-	-	-	U:	tie a:и:-,a:и:m,o:и:-
сопьць.n	сопьць	n	-	-	o:ь:-	a	-	voc.sg=сопьче	-	K:o:ь:-	-
сотона.n	сотона	n	-	-	a:а:f	-	-	-	ins.sg=сотонѫ	U:	tie a:а:-,ak:а:-,a:ь:-
соугоубородьство.n	соугоубородьство	n	-	-	o:о:n	-	-	-	-	U:	tie o:о:-,ok:о:-
соусана.n	соусана	n	-	-	a:а:f	-	-	-	-	U:	tie a:а:-,ak:а:-,a:ь:-
соухо.n	соухо	n	-	-	o:о:-	-	-	-	-	U:	tie o:о:n,ok:о:-
соуша.n	соуша	n	-	-	a:а:-	-	-	-	-	U:	tie a:а:f,a:а:m,ak:а:-,a:ь:-,a:ꙗ:-
спаѳаръ.n	спаѳаръ	n	-	-	o:ъ:-	-	-	-	-	U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
спира.n	спира	n	-	-	a:а:-	-	-	-	-	U:	tie a:а:f,ak:а:-,a:ь:-
сподъ.n	сподъ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
сполинъ.n	сполинъ	n	-	-	o:ъ:m	-	-	-	-	U:	tie o:ъ:-,ok:ъ:-,ok:ъ:m,u:ъ:-,uk:ъ:-
спытавъгнѣвъ.n	спꙑтавъгнѣвъ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
спѣхъ.n	спѣхъ	n	-	-	ok:ъ:-	-	-	-	-	K:ok:ъ:-	tie ok:ъ:m
спѣшениѥ.n	спѣшениѥ	n	-	-	o:ѥ:-	a	-	ins.sg=спѣшениимъ	-	U:	-
спѫдъ.n	спѫдъ	n	-	-	o:ъ:-	-	-	-	ins.sg=спѫдомь	K:o:ъ:-;U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
срамота.n	срамота	n	-	-	a:а:-	-	-	-	-	K:a:а:-	tie a:а:f,ak:а:-,a:ь:-
срамъ.n	срамъ	n	-	-	o:ъ:-	-	-	-	acc.sg=срамотѫ	K:o:ъ:-;U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
срацини.n	срацини	n	-	-	a:и:f	a	-	gen.pl=срацинъ;acc.pl=срацинꙑ	-	U:	-
срацинъ.n	срацинъ	n	-	-	o:ъ:-	-	-	-	-	K:o:ъ:-	tie o:ъ:m,ok:ъ:-,ok:ъ:m
срачица.n	срачица	n	-	-	a:а:m	-	-	-	-	U:	tie a:ꙗ:-
сръдъце.n	сръдъце	n	-	-	o:е:-	a	-	gen.sg=сръдьца;gen.pl=сръдьць;ins.sg=сръдьцемь;loc.sg=сръдьци	-	U:	-
срьбаниѥ.n	срьбаниѥ	n	-	-	o:ѥ:-	-	-	-	-	U:	-
